"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Lab","Homework","Quiz","overall","Grade"
"305",78,85,85,60,100,100,86,100,80,12,75,83,75,65,44,60,55,67,100,89,78,76,"C"
"306",88,78,100,95,95,100,0,75,75,12,96,89,75,100,67,73,84,81,100,88,95,88,"B+"
"307",100,100,100,90,72,100,97,100,98,12,92,100,75,90,56,70,70,78,100,98,94,87,"B+"
"308",82,100,95,80,95,96,100,80,85,12,100,78,85,90,72,76,90,85,100,92,92,91,"A"
"309",85,95,85,100,100,98,88,90,85,12,100,50,65,95,65,68,81,75,100,93,87,86,"B"
"310",52,92,98,0,91,0,0,0,0,10,58,0,0,0,43,21,54,23,80,42,19,40,"F"
"311",88,78,100,60,100,89,83,80,80,12,83,78,65,80,59,72,74,80,100,87,80,83,"B"
"312",92,100,95,100,100,99,100,85,98,12,100,89,75,95,80,84,100,94,100,98,95,97,"A+"
"313",48,72,92,95,100,88,80,82,100,12,75,61,45,100,47,62,59,69,100,89,79,78,"C+"
"314",98,94,78,90,95,97,100,90,99,12,92,72,55,75,61,49,76,54,100,95,80,79,"C+"
"315",80,85,100,90,95,96,86,60,100,12,67,78,75,95,77,66,96,74,100,92,83,88,"B+"
"316",60,0,90,0,0,91,0,48,66,11,75,72,30,100,62,54,78,60,100,44,82,66,"C-"
"317",0,50,42,80,100,83,71,75,50,12,67,61,55,35,14,40,18,44,100,69,61,54,"D"
"318",92,85,100,70,90,96,100,100,100,11,75,67,45,95,67,65,84,72,100,95,79,85,"B"
"319",92,100,100,100,100,0,90,100,100,11,92,61,65,80,78,76,98,84,100,98,79,92,"A"
"320",88,100,98,100,90,80,100,80,94,12,75,72,60,75,54,53,68,59,100,94,74,78,"C+"
"321",65,100,90,90,100,99,86,72,75,12,100,89,80,95,71,73,89,81,100,89,95,89,"A-"
"322",92,100,100,100,95,100,86,100,80,12,96,72,60,100,62,74,78,82,100,97,89,89,"A-"
"323",82,100,95,100,0,100,92,100,100,12,58,100,65,80,69,64,86,71,100,96,82,86,"B"
"324",0,75,68,90,80,71,0,50,0,8,83,61,25,35,64,45,80,50,40,54,60,58,"D"
"325",82,88,85,35,60,95,87,100,85,11,58,94,95,100,71,81,89,90,100,85,96,90,"A-"
"326",82,100,85,90,95,85,90,100,82,12,100,56,65,75,46,71,58,79,100,91,80,81,"B-"
"327",72,100,100,100,100,80,76,85,98,12,92,72,70,100,74,80,93,89,100,92,88,92,"A"
"328",72,70,100,90,100,95,97,100,85,12,100,89,75,80,72,75,90,84,100,92,90,90,"A-"
"329",0,0,0,10,0,0,54,70,32,9,33,0,55,45,33,57,41,63,60,21,44,43,"F"
"330",88,99,0,0,85,0,0,85,85,12,75,50,80,70,58,51,72,57,100,55,75,66,"C-"
"331",95,95,100,100,95,99,100,100,100,12,92,89,65,100,66,81,82,90,100,99,94,93,"A"
"332",72,92,100,90,95,89,83,95,100,12,92,22,60,75,61,57,76,64,100,93,76,80,"B-"
"333",100,85,100,100,100,99,97,85,95,12,100,100,100,100,80,89,100,99,100,97,100,99,"A+"
"334",92,75,100,100,96,96,100,90,100,12,75,89,70,90,62,75,77,83,100,97,85,88,"B+"
